ID,id,name,organization_id,alternate_name,transportation,latitude,longitude,description,location_services,location_phones,location_details,location_schedule,location_address,flag
1,0,"MEDIWARE, LLC",0,,,,,"Mediware develops and markets the world's most trusted, secure and comprehensive Web-based social services software, including its flagship solutions, ServicePoint and CommunityPoint. ServicePoint is the most widely used Consumer Information Management System (CIMS) and CommunityPoint is the social services portal of choice. When the challenges are how to connect, collaborate and cooperate, the answer is Mediware.",,,,,,
2,1,"SWITCHBOARD 211",1,,,25.777053242291,-80.190493558091,"Switchboard 211 provides the Miami-Dade and Monroe County community with comprehensive telephone crisis counseling, suicide prevention, information and referral services 24 hours a day, 7 days a week, 365 days a year. Our agency also offers free individual and family counseling services and prevention programs for high-risk youth and their families based in local schools.",,,,,,
3,17,"XCLUSIVE SENIOR DAY CARE CENTER, INC.",17,,,,,"Xclusive Senior Day Care Center provides day care services for the elderly community. The program activities provide a mix of therapeutic programs, daily physical exercise, life enrichment programs (art, music and horticulture) and leisure activities (hobbies, crafts and outings). A hot noon meal (USDA Approved) along with morning and afternoon snacks is also provided. Transportation provided.\n\nProvides homemaker and companion services.",,,,,,
4,21,"TOWN OF CUTLER BAY PARKS AND RECREATION",21,,,25.580258006554,-80.357622119458,"The Parks and Recreation Department is part of the Town of Cutler Bay, a municipal corporation of the State of Florida.",,,,,,
5,22,"TOWN OF CUTLER BAY - CUTLER RIDGE PARK - SUMMER CAMP PROGRAM",22,,,25.580258006554,-80.357622119458,"The Town of Cutler Bay Parks and Recreation Department provides summer camp sessions for residents of the Town of Cutler Bay and Miami-Dade County residents. Summer camp activities include: arts & crafts, field trips, indoor activities, outdoor games, free swim lessons, and swimming. Field trips varied.\n\nJune 8th - July 31st\n\nDates:\nSession 1: June 8 - June 19     \nSession 2: June 22 - July 3 \nSession 3: July 6 - July 17\nSession 4: July 20 - August 31\n\nRegistration begins: Monday, March 23, 2020",,,,,,
6,23,"JUNIOR ACHIEVEMENT OF GREATER MIAMI, INC.",23,(JA),,,,"Junior Achievement empowers young people to own their economic success. Their volunteer-based K-12 programs foster work-readiness, entrepreneurship, and financial literacy skills, and use experiential learning to inspire kids to dream big and reach their potential.\n\n###MON###",,,,,,
7,25,"SHERRY A. PALAMARA, PSYD, PA",25,,,25.790763939981,-80.131962611922,"Provides positive psychology, neuropsychology, neuropsychoeducation evaluations, employee assistance programs, cognitive behavioral and gesalt psychotherapy. Services provided to individuals, families, couples, children, adolescents and elderly with autism, aspergers, developmental delays, learning disabilities, medical conditions, mood disorders, anxiety and depression. Outpatient services provided to those who have addictions, are part of NA or AA, and referrals to detox centers can also be made. Assists with the LGBTQI community.",,,,,,
8,29,"MIAMI-DADE OFFICE OF THE STATE ATTORNEY",29,,,,,"Responsible for initiating charges and prosecuting individuals who have been accused of felony and misdemeanor offenses. Enforces child support orders and investigates allegations of major fraud, organized criminal activity, corruption and unlawful conduct by public officials.",,,,,,
9,30,"MIAMI-DADE OFFICE OF THE STATE ATTORNEY - VICTIM AND WITNESS SERVICES UNIT",30,,,25.769079961318,-80.19048463735,"Provides guidance and support for victims and witnesses who are unfamiliar with court procedures, and who may need assistance with obtaining crime compensation, taking time from work for court, or who need a restraining order for protection from felonious abuse. Also sponsors crime victim support groups and offers information and referral for social services.",,,,,,
10,31,"MIAMI-DADE OFFICE OF THE STATE ATTORNEY - DOMESTIC VIOLENCE AND STALKING ASSISTANCE - MISDEMEANOR",31,,,25.787251619281,-80.215084215606,"Prosecutes cases of domestic violence and property crimes between family (including common-law type relationships) members. Victims may come to the office without an appointment to file criminal charges. Referrals are made for counseling and to obtain injunctions against domestic and repeat violence.",,,,,,
